,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Spawn Rate,Statistics Weight,Notifications Weight,Get Accounts Weight,Put Accounts Weight,Unnamed: 29
5300,1745552770,385,,Aggregated,66.4,0.0,40.0,57.0,82.0,100.0,180.0,280.0,380.0,400.0,1200.0,1200.0,1200.0,3241,0,40.0,76.39590558469793,8.833900003082817,1218.7852999995812,70.44122184510954,5,128,64,8,2,
5400,1745552876,4,,Aggregated,0.0,0.0,170.0,170.0,230.0,230.0,230.0,280.0,280.0,280.0,280.0,280.0,280.0,12,0,160.0,150.21460833334763,23.058300001139287,278.9477000005718,185.33333333333331,4,32,1,8,64,
5500,1745552977,408,,Aggregated,68.6,0.0,43.0,56.0,72.0,89.0,130.0,220.0,300.0,340.0,550.0,580.0,580.0,4252,0,43.0,67.3984081138074,13.81039999978384,577.1017000006395,76.53127939793039,4,32,1,8,64,
5600,1745553082,324,,Aggregated,140.9,114.9,330.0,430.0,480.0,510.0,640.0,900.0,1400.0,1800.0,1900.0,2300.0,2300.0,2684,1733,330.0,374.3523760804645,13.52250000127242,2302.6471999983187,149.24701937406854,12,1,8,32,8,
5700,1745553190,1504,,Aggregated,222.6,86.3,630.0,1000.0,1600.0,1900.0,4800.0,8300.0,21000.0,21000.0,22000.0,22000.0,23000.0,23926,13882,630.0,1967.5298493270852,11.835000001156004,22788.38199999882,172.91916743291816,12,1,8,32,8,
5800,1745553300,744,,Aggregated,145.3,117.2,730.0,930.0,1200.0,1500.0,3400.0,7900.0,15000.0,16000.0,21000.0,21000.0,21000.0,7518,5930,730.0,1551.4119727320824,11.036800002329985,21253.925900000468,131.03711093375898,12,32,64,64,2,
5900,1745553409,1944,,Aggregated,282.1,17.2,660.0,1300.0,2300.0,3500.0,9000.0,12000.0,21000.0,22000.0,23000.0,28000.0,28000.0,31839,15811,660.0,2765.639411847132,11.036800002329985,28207.06820000123,119.96582807248971,12,32,64,64,2,
6000,1745553516,89,,Aggregated,13.7,0.0,560.0,770.0,880.0,1000.0,1700.0,2100.0,7800.0,8100.0,8200.0,8300.0,8300.0,3846,2416,560.0,899.6023503379897,10.653999997884966,8299.52019999837,109.48985959438376,13,4,2,1,2,
6100,1745553621,264,,Aggregated,88.1,53.7,300.0,460.0,500.0,530.0,670.0,810.0,900.0,930.0,1100.0,1500.0,1500.0,1615,809,300.0,336.1132808669213,12.330800000199815,1478.2110000014654,142.1597523219814,12,1,32,16,2,
6200,1745553727,1454,,Aggregated,217.8,46.9,580.0,940.0,1300.0,1700.0,4900.0,10000.0,21000.0,22000.0,22000.0,23000.0,23000.0,21233,11621,580.0,2059.15110582115,10.21730000138632,22817.69540000096,120.24202891725145,12,1,32,16,2,
6300,1745553838,570,,Aggregated,132.0,101.3,670.0,890.0,1100.0,1400.0,2000.0,3800.0,7700.0,8200.0,21000.0,21000.0,21000.0,6048,4563,670.0,1164.7165414517292,12.776799998391652,21158.631599999357,120.63657407407408,10,2,8,2,128,
6400,1745553945,1575,,Aggregated,242.6,31.8,670.0,1100.0,1900.0,2600.0,6700.0,17000.0,21000.0,22000.0,23000.0,24000.0,32000.0,26337,14061,670.0,2523.837615009317,12.776799998391652,32031.347100000858,91.54755666932452,10,2,8,2,128,
6500,1745554050,435,,Aggregated,70.9,0.0,42.0,56.0,77.0,92.0,220.0,340.0,390.0,410.0,1200.0,1200.0,1200.0,3987,0,42.0,82.59495467772335,10.59719999830122,1244.9412000023583,170.64810634562326,5,8,32,128,4,
6600,1745554155,132,,Aggregated,35.333333,4.111111,180.0,360.0,410.0,430.0,470.0,520.0,560.0,670.0,850.0,850.0,850.0,469,68,180.0,242.918728571441,17.549899999721674,846.8523999981699,155.01066098081023,11,2,1,1,64,
6700,1745554275,1243,,Aggregated,43.5,11.5,620.0,960.0,1500.0,2000.0,7700.0,15000.0,21000.0,32000.0,41000.0,41000.0,41000.0,13862,6835,620.0,2496.1184324772594,16.14519999930053,40862.96410000068,88.75602366180927,11,2,1,1,64,
6800,1745554427,1136,,Aggregated,46.6,0.1,2300.0,3200.0,3700.0,4000.0,6000.0,16000.0,32000.0,42000.0,54000.0,56000.0,56000.0,4390,430,2300.0,4021.1473831890366,34.297300000616815,55821.12549999874,115.21708428246014,16,128,128,128,8,
6900,1745554570,377,,Aggregated,186.6,119.2,490.0,690.0,940.0,1300.0,1900.0,3500.0,4300.0,4700.0,7200.0,7300.0,7300.0,5786,3260,490.0,830.8285631524265,9.49889999901643,7280.184700000973,113.63428966470792,15,32,128,8,64,
7000,1745554671,377,,Aggregated,57.4,0.0,57.0,310.0,490.0,590.0,1300.0,1900.0,3800.0,4300.0,5900.0,7300.0,7300.0,11532,3260,57.0,434.5774624002656,7.828999998309882,7280.184700000973,65.77358654179675,15,32,128,8,64,
7100,1745554773,584,,Aggregated,99.8,0.0,48.0,67.0,96.0,120.0,190.0,250.0,290.0,310.0,480.0,520.0,520.0,4748,18,48.0,78.62922097727072,10.719199999584816,523.3681999998225,172.19987363100253,8,8,32,64,32,
7200,1745554874,725,,Aggregated,109.7,0.0,43.0,52.0,61.0,67.0,100.0,160.0,240.0,280.0,350.0,500.0,520.0,16020,18,43.0,57.02327411361424,9.851099999650614,523.3681999998225,210.47771535580523,8,8,32,64,32,
7300,1745554979,845,,Aggregated,128.4,0.0,44.0,58.0,82.0,110.0,170.0,210.0,260.0,290.0,400.0,420.0,420.0,9377,0,44.0,70.1420294657234,10.122899999259973,420.3145999999833,52.29401727631439,10,128,64,2,8,
7400,1745555084,161,,Aggregated,33.8,0.0,65.0,95.0,110.0,130.0,170.0,200.0,250.0,290.0,320.0,320.0,320.0,673,0,65.0,80.9414199109294,11.222100001759827,318.93270000000484,166.43387815750373,7,2,8,64,64,
7500,1745555185,861,,Aggregated,145.2,0.0,47.0,59.0,69.0,82.0,140.0,180.0,250.0,310.0,370.0,440.0,440.0,10352,0,47.0,66.0450454501715,11.08390000081272,439.2498999986856,204.4583655332303,7,2,8,64,64,
7600,1745555291,157,,Aggregated,102.5,69.9,600.0,770.0,930.0,1100.0,1800.0,7600.0,16000.0,16000.0,21000.0,21000.0,21000.0,5219,4189,600.0,1318.2038963019818,16.322600000421517,21183.309899999585,142.6049051542441,12,1,1,16,4,
7700,1745555392,157,,Aggregated,23.5,0.0,390.0,600.0,740.0,840.0,1400.0,2100.0,9100.0,16000.0,21000.0,21000.0,21000.0,7616,4189,390.0,914.3894407037972,9.04190000073868,21183.309899999585,204.6121323529412,12,1,1,16,4,
