Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,tot,inc,place,counts-/accounts/,counts-get-/accounts/current,counts-/notifications/recipients/current,counts-put-/accounts/current,counts-/statistics/current
,Aggregated,7412,0,58,86.0875289530223,12.132299998484086,630.1147000049241,162.0152455477604,81.81368871089288,0.0,58,77,97,110,190,270,320,350,580,630,630,640,10,1,640,2467,0,3665,0
,Aggregated,181757,3046,7800.0,15982.474104053354,12.302600000111852,729251.9579,172.4275763794517,126.92627153754587,2.127111600121947,7800,10000,12000,13000,15000,17000,27000,443000,709000,724000,729000,5120,8,1,4856,19609,0,114477,0
,Aggregated,80996,337,3200.0,5017.185938667324,11.498500003654044,294510.24589999724,170.68472517161342,133.39870048154765,0.555031878886384,3200,4600,5900,6700,9600,12000,15000,23000,188000,286000,295000,1280,8,1,2160,26799,0,49890,0
,Aggregated,38408,178,99,192.10400196833632,14.084299997193739,2261.3485000038054,170.559024161633,144.58455685166564,0.6700700666422746,99,160,220,270,400,620,1300,1500,1900,2100,2300,1280,8,1,1280,12761,0,23087,0
,Aggregated,10318,0,53,82.88631229891905,14.158799996948801,1340.2394000004278,168.09633649932158,80.26109667003038,0.0,53,69,86,100,170,240,350,460,1100,1300,1300,640,8,1,640,3470,0,5568,0
,Aggregated,6843,0,45,57.52423619753522,12.402899999869987,342.84800000023097,169.62326465000731,48.13705045165045,0.0,45,58,68,76,110,130,200,220,310,340,340,320,8,1,320,2280,0,3923,0
,Aggregated,86,0,62,62.20497906957293,14.516600000206381,177.7975000004517,153.1046511627907,7.280866199689711,0.0,73,79,90,94,100,110,160,180,180,180,180,20,4,1,20,29,0,17,0
,Aggregated,4416,1374,160.0,358.72090561600237,12.63259999541333,2509.573700001056,152.99365942028984,64.80246718138677,20.162724163773877, 160,390,560,660 ,960 ,1300,1700,1800,2100,2500,2500,320,16,1,970,1001,0,1475,0
,Aggregated,15003,3196,520.0,821.9884427447784,15.957600000547245,4569.239399999788,154.07105245617544,154.11049388494098,32.82924338174175,520,740,930,1100,2200,3000,3500,3800,4300,4500,4600,320,8,1,2871,3896,0,5365,0
,Aggregated,7626,0,57,74.65228610017812,13.632899999720394,597.5368999988859,162.80094413847365,75.68911141096658,0.0,57,72,87,100,150,200,240,260,570,600,600,640,8,1,640,2524,0,3822,0
,Aggregated,4092,0,28,43.09567248290216,13.648800000737538,308.8831000004575,164.49291300097752,25.264253197056497,0.0,28,40,51,57,87,120,160,180,290,310,310,160,8,1,160,3227,0,2445,0
,Aggregated,654,594,480.0,3134.918225076541,27.838200010592118,30964.34729997418,116.66207951070336,14.923983480019812,13.55481068368772,480,650,850,1200,2000,30000,31000,31000,31000,31000,31000,320,16,1,328,32,0,18,0
,Aggregated,2078,0,60,164.96089692043228,14.09449998755008,2580.8511000068393,170.6381135707411,25.9683034617843,0.0,60,110,160,210,440,700,1100,1400,2600,2600,2600,160,8,1,160,710,0,1048,0
,Aggregated,1384,0,40,78.99813959560078,12.683099979767576,1001.3330999936443,171.41184971098266,12.592346988853214,0.0,40,63,86,110,170,290,450,510,760,1000,1000,80,4,1,80,470,0,754,0
,Aggregated,776,0,31,59.512926933110194,15.136800007894635,581.8496999854688,183.66881443298968,5.963456854794768,0.0,31,47,68,79,120,190,310,370,580,580,580,40,1,1,40,281,0,415,0
,Aggregated,549,0,38,58.95118451796435,17.465499986428767,451.67290000244975,159.93806921675775,3.3580952266506894,0.0,38,57,71,80,110,150,270,300,450,450,450,20,1,1,20,170,0,339,0
,Aggregated,292,0,60,76.12413013683256,18.230699992273003,409.038200014038,166.69520547945206,1.7257005016683522,0.0,60,79,91,100,130,180,260,310,410,410,410, 10,1,1,10,95,0,177,0
,Aggregated,33492,4606,880.0,4223.199805768427,7.019699987722561,413369.42820000695,164.41547235160635,44.38376522982505,6.103894143334951,880,1300,1600,1900,3600,6900,14000,16000,412000,413000,413000,1000,10,0,1116,11022,0,20328,0
